run_id,prompt_id,raw,prefix_correct,overgeneration,eos_ce
direct-gaussian-s00-a1,paraphrase_4,ambient synthwave,True,True,5.573173522949219
direct-heavy_tail-s00-a1,paraphrase_4,ambient synthwave,True,True,2.365438461303711
direct-gaussian-s02-a1,paraphrase_4,ambient synthwave,True,True,2.485189437866211
direct-heavy_tail-s02-a1,paraphrase_4,ambient synthwave,True,True,7.972539901733398
direct-uniform-s03-a1,paraphrase_4,ambient synthwave,True,True,7.348907470703125
direct-rademacher-s03-a1,paraphrase_4,ambient trance,True,True,2.319650650024414
direct-heavy_tail-s03-a1,paraphrase_4,ambient synthwave,True,True,7.133029937744141
direct-uniform-s04-a1,paraphrase_2,"ambient, contemplative, reflective, and spiritual",True,True,1.3142738342285156
direct-sphere-s04-a1,paraphrase_4,ambient synthwave,True,True,11.206771850585938
direct-uniform-s06-a1,paraphrase_4,ambient synthwave,True,True,9.020484924316406
direct-heavy_tail-s07-a1,paraphrase_4,ambient synthwave,True,True,4.20427131652832
direct-gaussian-s01-a2,paraphrase_4,ambient trance,True,True,4.059135437011719
direct-gaussian-s02-a0.5,paraphrase_4,ambient synthwave,True,True,4.174022674560547
direct-gaussian-s04-a4,paraphrase_4,ambient synthwave,True,True,9.574851989746094
direct-gaussian-s06-a0.25,paraphrase_4,ambient synthwave,True,True,6.047367095947266
direct-gaussian-s08-a1,paraphrase_4,ambient synthwave,True,True,8.138290405273438
direct-gaussian-s11-a1,paraphrase_4,ambient synthwave,True,True,7.83453369140625
