run_id,distribution,seed,scale,study,original_correct,all5_correct,path95_step,final_displacement_rmse,elapsed_seconds,endpoint_latent_sha256,original_open_correct,original_open_raw,paraphrase_1_correct,paraphrase_1_raw,paraphrase_2_correct,paraphrase_2_raw,paraphrase_3_correct,paraphrase_3_raw,paraphrase_4_correct,paraphrase_4_raw
direct-gaussian-s00-a1,gaussian,0,1.0,distribution,True,False,50,0.31283125281333923,99.46342360088602,87112471bc6e0d205676c7d19a51f4c452076484b27dfbc698c0e44f02f44351,True,ambient,True,ambient,True,ambient,True,ambient,False,ambient synthwave
direct-uniform-s00-a1,uniform,0,1.0,distribution,True,True,38,0.3189058005809784,98.04081043810584,681312f1ef2bc27c72d1dcbb2d4628826928d59eac9157ebc33e44d5a3a6a134,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-sphere-s00-a1,sphere,0,1.0,distribution,True,True,35,0.3077292740345001,97.43707321514376,668587ae1582b3e4929aa523b28175253f7c7cac5b4c83fc740576738f3ef737,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-rademacher-s00-a1,rademacher,0,1.0,distribution,True,True,37,0.30616116523742676,97.00176800088957,0a775381365c5d8662e8c9834c534afb0835f4f729ffecbc378c1008f2e77494,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-heavy_tail-s00-a1,heavy_tail,0,1.0,distribution,True,False,54,0.32064253091812134,98.11002749111503,127bf9d699e2e1a98c37b0468a3d033f94790e81f7cb443736b22eadc2dfe5dd,True,ambient,True,ambient,True,ambient,True,ambient,False,ambient synthwave
direct-gaussian-s01-a1,gaussian,1,1.0,distribution,True,True,32,0.3040984869003296,97.78017303301021,9eb236caa9f399e80d48d88f5dcc37d26bd2d0ea20634429076b48a6553f6fba,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-uniform-s01-a1,uniform,1,1.0,distribution,True,True,33,0.30330580472946167,97.9680455850903,c657016094541aef8c47eab18d8221102ef495264e55ba58365f865bfbb8bd81,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-sphere-s01-a1,sphere,1,1.0,distribution,True,True,36,0.30964845418930054,97.70937267993577,d1f06e007fe4f46e2dd247afe86e522da82329fa32fe0e75a0f2992dc2350363,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-rademacher-s01-a1,rademacher,1,1.0,distribution,True,True,34,0.30728888511657715,97.77242695214227,a5db2aa94d7236707718e34648e9da8b4360ea4e6b2b6f935ea84c8393387237,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-heavy_tail-s01-a1,heavy_tail,1,1.0,distribution,True,True,39,0.3049720227718353,96.430994334165,07cfee5077c2f5e771f776fd88d0592df46eeb5c790afc675b93e69eb0491c3d,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-gaussian-s02-a1,gaussian,2,1.0,distribution,True,False,34,0.30876609683036804,97.40740248607472,5dc9e2555c0d15084e5558f54c641e2b68ff2ae3ceb630d87cb3d9f8b96ae77d,True,ambient,True,ambient,True,ambient,True,ambient,False,ambient synthwave
direct-uniform-s02-a1,uniform,2,1.0,distribution,True,True,33,0.2994573712348938,97.32095023593865,641e219bd061c07a5ad8afa9c102e77c9c4455f4e0f1a08ff50d6f0d5a496fc0,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-sphere-s02-a1,sphere,2,1.0,distribution,True,True,35,0.3188087046146393,96.92506368993782,5bb51aef8ae1f9770acf8475e6eef83a908712ae5a8b968f356fd2553974aa61,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-rademacher-s02-a1,rademacher,2,1.0,distribution,True,True,34,0.30186957120895386,98.21356512699276,d29d3db92b2b27c1dfb909c14242a9eda3583375a16ecd3965dc2203ab195536,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-heavy_tail-s02-a1,heavy_tail,2,1.0,distribution,True,False,50,0.30932366847991943,97.80673831608146,cd281a0dd32b3d6028371169dccb9e65b6423db71fe0d5404683f3811658fc19,True,ambient,True,ambient,True,ambient,True,ambient,False,ambient synthwave
direct-gaussian-s03-a1,gaussian,3,1.0,distribution,True,True,34,0.30763810873031616,96.50504519394599,9da36e92a5438784f4ce31d41050e64921e3568670b2aca4d14df93f8b13be3c,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-uniform-s03-a1,uniform,3,1.0,distribution,True,False,62,0.3222196698188782,97.96543886512518,8b751213cb3dfe59b38c59d66bd9b69b70b781a519f6c1790dcd55d6b312cb1d,True,ambient,True,ambient,True,ambient,True,ambient,False,ambient synthwave
direct-sphere-s03-a1,sphere,3,1.0,distribution,True,True,35,0.30535170435905457,96.78695808188058,7b90d97070a6fff3b420711487154bdb613ec6818854981de7c0cdb60af9a921,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-rademacher-s03-a1,rademacher,3,1.0,distribution,True,False,34,0.3036460876464844,97.74326245905831,32d082f15bb8c6a86be81205fb5c2ded426864130925dd719611ad940dbfb921,True,ambient,True,ambient,True,ambient,True,ambient,False,ambient trance
direct-heavy_tail-s03-a1,heavy_tail,3,1.0,distribution,True,False,61,0.3067456781864166,97.53271976415999,cc318585c5bc84e506c201c675bb2094d0825c3fa47e756c067d59050fcca4e9,True,ambient,True,ambient,True,ambient,True,ambient,False,ambient synthwave
direct-gaussian-s04-a1,gaussian,4,1.0,distribution,True,True,33,0.3021731972694397,97.61386534199119,7d918071af61881f8184f1b78039ed52af0571cd98a17ab1727f20c00a59d9ed,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-uniform-s04-a1,uniform,4,1.0,distribution,True,False,33,0.30448558926582336,99.11858170595951,50f72dc07cff72781c0a7bec37b6d7ffe7c39c0dd95ea2a8dfa254a87fd3826f,True,ambient,True,ambient,False,"ambient, contemplative, reflective, and spiritual",True,ambient,True,ambient
direct-sphere-s04-a1,sphere,4,1.0,distribution,True,False,59,0.36353492736816406,97.87282239785418,0a97f4534bbe0ae9b89eb610d4e5306e85a71696972373ce6627bd360af57c21,True,ambient,True,ambient,True,ambient,True,ambient,False,ambient synthwave
direct-rademacher-s04-a1,rademacher,4,1.0,distribution,True,True,41,0.3248026371002197,97.68056500190869,923210a9303508aa30b44caf626c5fb0e56aa3d2884ce454c717689992c1a7a1,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-heavy_tail-s04-a1,heavy_tail,4,1.0,distribution,True,True,35,0.30465826392173767,97.08025496918708,e8af4af074be4c9740ddd97ff49f6a4591e3aa264568f668002cc4b84a21be15,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-gaussian-s05-a1,gaussian,5,1.0,distribution,True,True,38,0.3190203905105591,98.28564417222515,5bb18883c943dbb75a2a275ec6c774f6acfd77408eaca25dce9247c533236009,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-uniform-s05-a1,uniform,5,1.0,distribution,True,True,58,0.32621118426322937,97.65289824618958,94544c29e112a2670446aa24454b778bff934aca808395e2b95af68e507414ca,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-sphere-s05-a1,sphere,5,1.0,distribution,True,True,36,0.31709378957748413,98.12245733710006,bffb5e82d1343b706d16db8f42dffca55f55223dd07acfe9e0b86dea353a1abd,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-rademacher-s05-a1,rademacher,5,1.0,distribution,True,True,33,0.3061545491218567,98.27338451705873,c2e37f5d1a209acc5b935550c2be7264beb938c323883531d4bc5e20ce1dedbe,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-heavy_tail-s05-a1,heavy_tail,5,1.0,distribution,True,True,39,0.3233380615711212,96.6715161788743,2d35fbb053d4865c4d5fec4e8aeaf0075736ea6104c144ad02288d9687331952,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-gaussian-s06-a1,gaussian,6,1.0,distribution,True,True,34,0.2928903102874756,97.65342372492887,4dde10e68cc6bc342b633569f63d40502c4bf91778b3510d6018db7c66a8bf61,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-uniform-s06-a1,uniform,6,1.0,distribution,True,False,65,0.31754496693611145,98.11167450202629,4ba4fa690beffa4040096d9b0dd25f9f80c22bf98c238e8a3249b4271f45801b,True,ambient,True,ambient,True,ambient,True,ambient,False,ambient synthwave
direct-sphere-s06-a1,sphere,6,1.0,distribution,True,True,32,0.3042764663696289,97.65533974580467,d66e6293913589a19ba3eedb7f75c30bfd53f1661498255f925732e300b8b513,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-rademacher-s06-a1,rademacher,6,1.0,distribution,True,True,34,0.3039973974227905,96.44864315120503,a93be448e7525635e707a25b797116dc7589f63dd558f61d771ed261d9d1a5ac,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-heavy_tail-s06-a1,heavy_tail,6,1.0,distribution,True,True,35,0.31466490030288696,97.7321192799136,3610d0225586c905d7b8be7f4643b6585c16147016e553017b1b91fce404b5fa,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-gaussian-s07-a1,gaussian,7,1.0,distribution,True,True,31,0.2934618592262268,97.93143569701351,4a3051ea18b29f5eb76417d98a779a2a87e2c1706c2a51bfdfba8235f474f133,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-uniform-s07-a1,uniform,7,1.0,distribution,True,True,33,0.3085560202598572,74.48196283169091,2e965f0e412e45838ab07affc21c96f5d99d7f7d34b3c2b46c6e8874881f987e,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-sphere-s07-a1,sphere,7,1.0,distribution,True,True,38,0.31028494238853455,73.53286539763212,67d98e13593131e2f06d4065cd1dc82483eda8a828e93ddbb83db6b0b0984fcf,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-rademacher-s07-a1,rademacher,7,1.0,distribution,True,True,32,0.30132216215133667,72.93884789571166,43de40577fcdaf27a94ae2038ea7c9e66082d0992b34cdd86db25e2ef4a144ca,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-heavy_tail-s07-a1,heavy_tail,7,1.0,distribution,True,False,48,0.3123149871826172,72.40165792964399,2144abb6fb862033303f68fb11dbb6bd277e4e2eb5654c7b6d1591a12e34b441,True,ambient,True,ambient,True,ambient,True,ambient,False,ambient synthwave
direct-gaussian-s00-a0.25,gaussian,0,0.25,scale,True,True,34,0.30546027421951294,72.76546505559236,e774f738ee8c144b4391c6cda817919fcdb34d2a28bca13e0044ae1faa89743f,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-gaussian-s00-a0.5,gaussian,0,0.5,scale,True,True,33,0.3013015687465668,72.15902417059988,47c6077ba2a627583431a623ef04347931f8e99f0057e63e276e9d9462e20f56,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-gaussian-s00-a2,gaussian,0,2.0,scale,True,True,39,0.3191637396812439,73.46473868750036,df44d5d643beba7f5aa420b6c352cefa4f5eada5a5d4ce8fd0906ac288faba13,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-gaussian-s00-a4,gaussian,0,4.0,scale,True,True,39,0.3301071524620056,72.51031622011214,27480162691c135e370ac540c0bb4dc41528b93aa47a6dde5f10c0c9c155f555,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-gaussian-s01-a0.25,gaussian,1,0.25,scale,True,True,33,0.3076351583003998,75.56440193578601,1228cc50e22bebeb17d21c7b13b62ced5c2329d96a4e1ecde2a9651a8823b1d1,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-gaussian-s01-a0.5,gaussian,1,0.5,scale,True,True,32,0.3037014603614807,73.99849040620029,61a8ff134c759edcb79648febd1d35d83d1370ab7004fbbea734fe9b1ad3d730,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-gaussian-s01-a2,gaussian,1,2.0,scale,True,False,54,0.31633806228637695,76.34783223737031,d645aafd37f0cb418f9d030ea7bcd933e1a71c4e67dae9ca57069f7e12daf965,True,ambient,True,ambient,True,ambient,True,ambient,False,ambient trance
direct-gaussian-s01-a4,gaussian,1,4.0,scale,True,True,34,0.3071608543395996,75.59371425490826,c0ff97066d1ad0b708fa78e0e6d7b5e9a283f2a952dcf686031c71f238702119,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-gaussian-s02-a0.25,gaussian,2,0.25,scale,True,True,34,0.30673548579216003,72.18514396995306,6b9e6abe468ad06b7a8b2bee5acdff80c6974635a3ed59bc63603011ce31c7ed,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-gaussian-s02-a0.5,gaussian,2,0.5,scale,True,False,35,0.3037847578525543,70.82980146817863,fed225c24c6dd85acb4e05047ad0c8449aed7987799a05d22cce9fb709b91556,True,ambient,True,ambient,True,ambient,True,ambient,False,ambient synthwave
direct-gaussian-s02-a2,gaussian,2,2.0,scale,True,True,33,0.2969737648963928,73.64840008225292,17f2001ff0dca9de216860bde2de56b4b895e24c236057b5dd3a806e436df667,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-gaussian-s02-a4,gaussian,2,4.0,scale,True,True,33,0.3033939301967621,72.78679741546512,fa2a4899ba7b2e130649a93ef4288051007b42594b145a9e4510026a646f8116,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-gaussian-s03-a0.25,gaussian,3,0.25,scale,True,True,33,0.3040323853492737,73.65630292985588,09b78957f20d758ee3dd8b071065c53ee1b7c5465f4267e318f54b90eafcbf79,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
direct-gaussian-s03-a0.5,gaussian,3,0.5,scale,True,True,36,0.3118894100189209,73.54380729887635,ec631a953825f56570663b18814bad4ce4656dc1d74e9eb8ca676fb1d5f8c2bf,True,ambient,True,ambient,True,ambient,True,ambient,True,ambient
