Loading pipeline components...:   0%|                    | 0/6 [00:00<?, ?it/s]Loading pipeline components...:  17%|██          | 1/6 [00:00<00:01,  2.91it/s]Loading pipeline components...:  67%|████████    | 4/6 [00:09<00:05,  2.50s/it]Loading pipeline components...:  83%|██████████  | 5/6 [00:10<00:02,  2.16s/it]Loading pipeline components...: 100%|████████████| 6/6 [00:11<00:00,  1.75s/it]Loading pipeline components...: 100%|████████████| 6/6 [00:11<00:00,  1.89s/it]
/inspire/ssd/project/exploration-topic/czxs26210936/envs/vlm-r3-ngc2502/lib/python3.12/site-packages/diffusers/loaders/lora_pipeline.py:6850: FutureWarning: `LoraLoaderMixin` is deprecated and will be removed in version 1.0.0. LoraLoaderMixin is deprecated and this will be removed in a future version. Please use `StableDiffusionLoraLoaderMixin`, instead.
  deprecate("LoraLoaderMixin", "1.0.0", deprecation_message)
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|                         | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|████████▌        | 1/2 [00:01<00:01,  1.43s/it]Loading checkpoint shards: 100%|█████████████████| 2/2 [00:02<00:00,  1.13s/it]Loading checkpoint shards: 100%|█████████████████| 2/2 [00:02<00:00,  1.17s/it]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
{"stage": "optimizer_step", "id": "state-jazz", "step": 1, "answer_ce": 6.0129852294921875, "eos_ce": 0.000240325927734375}
{"stage": "optimizer_step", "id": "state-jazz", "step": 17, "answer_ce": 0.007227897644042969, "eos_ce": 0.00020599365234375}
{"stage": "optimizer_step", "id": "state-jazz", "step": 33, "answer_ce": 0.001495361328125, "eos_ce": 0.000789642333984375}
{"stage": "optimizer_step", "id": "state-jazz", "step": 49, "answer_ce": 0.000392913818359375, "eos_ce": 0.000102996826171875}
{"stage": "optimizer_step", "id": "state-jazz", "step": 65, "answer_ce": 0.00029468536376953125, "eos_ce": 2.288818359375e-05}
{"stage": "optimizer_step", "id": "state-jazz", "step": 81, "answer_ce": 0.00028514862060546875, "eos_ce": 0.000118255615234375}
{"stage": "optimizer_step", "id": "state-jazz", "step": 97, "answer_ce": 0.00013256072998046875, "eos_ce": 2.6702880859375e-05}
{"stage": "optimizer_step", "id": "state-jazz", "step": 113, "answer_ce": 0.00012874603271484375, "eos_ce": 7.62939453125e-06}
{"stage": "optimizer_step", "id": "state-jazz", "step": 129, "answer_ce": 0.00014495849609375, "eos_ce": 6.866455078125e-05}
{"stage": "optimizer_step", "id": "state-jazz", "step": 145, "answer_ce": 9.72747802734375e-05, "eos_ce": 1.52587890625e-05}
{"stage": "optimizer_step", "id": "state-jazz", "step": 161, "answer_ce": 8.7738037109375e-05, "eos_ce": 3.814697265625e-06}
{"stage": "optimizer_step", "id": "state-jazz", "step": 177, "answer_ce": 0.00012683868408203125, "eos_ce": 4.9591064453125e-05}
{"stage": "optimizer_step", "id": "state-jazz", "step": 193, "answer_ce": 7.2479248046875e-05, "eos_ce": 1.1444091796875e-05}
{"stage": "optimizer_step", "id": "state-jazz", "step": 209, "answer_ce": 6.866455078125e-05, "eos_ce": 3.814697265625e-06}
{"stage": "optimizer_step", "id": "state-jazz", "step": 225, "answer_ce": 9.72747802734375e-05, "eos_ce": 3.4332275390625e-05}
{"stage": "optimizer_step", "id": "state-jazz", "step": 241, "answer_ce": 6.29425048828125e-05, "eos_ce": 7.62939453125e-06}
{"stage": "optimizer_step", "id": "state-clear", "step": 1, "answer_ce": 7.135219573974609, "eos_ce": 0.00136566162109375}
{"stage": "optimizer_step", "id": "state-clear", "step": 17, "answer_ce": 5.1968841552734375, "eos_ce": 0.0044097900390625}
{"stage": "optimizer_step", "id": "state-clear", "step": 33, "answer_ce": 0.0758565291762352, "eos_ce": 0.012725830078125}
{"stage": "optimizer_step", "id": "state-clear", "step": 49, "answer_ce": 0.0071214041672647, "eos_ce": 0.000240325927734375}
{"stage": "optimizer_step", "id": "state-clear", "step": 65, "answer_ce": 0.0018030803184956312, "eos_ce": 9.918212890625e-05}
{"stage": "optimizer_step", "id": "state-clear", "step": 81, "answer_ce": 0.0022068023681640625, "eos_ce": 0.000568389892578125}
{"stage": "optimizer_step", "id": "state-clear", "step": 97, "answer_ce": 0.0011088054161518812, "eos_ce": 4.57763671875e-05}
{"stage": "optimizer_step", "id": "state-clear", "step": 113, "answer_ce": 0.0006701151723973453, "eos_ce": 3.814697265625e-05}
{"stage": "optimizer_step", "id": "state-clear", "step": 129, "answer_ce": 0.0009854634990915656, "eos_ce": 0.000263214111328125}
{"stage": "optimizer_step", "id": "state-clear", "step": 145, "answer_ce": 0.000591278076171875, "eos_ce": 3.814697265625e-05}
{"stage": "optimizer_step", "id": "state-clear", "step": 161, "answer_ce": 0.00037129721022211015, "eos_ce": 3.0517578125e-05}
{"stage": "optimizer_step", "id": "state-clear", "step": 177, "answer_ce": 0.0006497701397165656, "eos_ce": 0.00012969970703125}
{"stage": "optimizer_step", "id": "state-clear", "step": 193, "answer_ce": 0.00041961669921875, "eos_ce": 3.814697265625e-05}
{"stage": "optimizer_step", "id": "state-clear", "step": 209, "answer_ce": 0.0003191630239598453, "eos_ce": 2.6702880859375e-05}
