arm,step,seed_i,seed_j,rmse,rmse_over_initial
mcq,0,0,1,0.08022652455429298,1.0
mcq,0,0,2,0.08018091669530274,1.0
mcq,0,0,3,0.08002264663462927,1.0
mcq,0,0,4,0.08018631784196184,1.0
mcq,0,0,5,0.0801008308494373,1.0
mcq,0,0,6,0.08027064878373555,1.0
mcq,0,0,7,0.08026985345197064,1.0
mcq,0,1,2,0.08001807576802397,1.0
mcq,0,1,3,0.0802292138946345,1.0
mcq,0,1,4,0.08027059122712105,1.0
mcq,0,1,5,0.08034290984923896,1.0
mcq,0,1,6,0.08032276952438172,1.0
mcq,0,1,7,0.07998597173295992,1.0
mcq,0,2,3,0.08016722001159234,1.0
mcq,0,2,4,0.0804267257599461,1.0
mcq,0,2,5,0.08019457383366278,1.0
mcq,0,2,6,0.08022969746540216,1.0
mcq,0,2,7,0.07999944406015015,1.0
mcq,0,3,4,0.08035676156723309,1.0
mcq,0,3,5,0.08008882878474001,1.0
mcq,0,3,6,0.08041206300569033,1.0
mcq,0,3,7,0.08024445063966584,1.0
mcq,0,4,5,0.08012313424702448,1.0
mcq,0,4,6,0.08052720780948176,1.0
mcq,0,4,7,0.0802538098980455,1.0
mcq,0,5,6,0.08034950741841014,1.0
mcq,0,5,7,0.08034435076228248,1.0
mcq,0,6,7,0.08013401900829026,1.0
mcq,1,0,1,0.10643090983071178,1.3266299446722896
mcq,1,0,2,0.10665153467520702,1.3301361355158343
mcq,1,0,3,0.10621281690560064,1.3272844797367367
mcq,1,0,4,0.10724609032946633,1.3374612180202143
mcq,1,0,5,0.10693855656938532,1.3350492802052696
mcq,1,0,6,0.10677128446526235,1.3301410426234945
mcq,1,0,7,0.10653953721299612,1.3272671199872554
mcq,1,1,2,0.10664453798451067,1.3327555925448398
mcq,1,1,3,0.10650896534184093,1.3275583814359664
mcq,1,1,4,0.10713387606586265,1.3346591127344942
mcq,1,1,5,0.10725303099271863,1.334940832912023
mcq,1,1,6,0.10677482368122507,1.329321988191828
mcq,1,1,7,0.10657461327892319,1.3324163096340411
mcq,1,2,3,0.10678375559343867,1.3320127051679918
mcq,1,2,4,0.10684563797030587,1.3284842440212437
mcq,1,2,5,0.10710506107998191,1.3355649386221076
mcq,1,2,6,0.10677030174776024,1.3308077323088912
mcq,1,2,7,0.10665576603778304,1.3332063402539458
mcq,1,3,4,0.10689185302602304,1.3302160383428159
mcq,1,3,5,0.10649378395304618,1.3296958585731913
mcq,1,3,6,0.10640338141353445,1.3232266085003297
mcq,1,3,7,0.10608704351188301,1.3220483493402204
mcq,1,4,5,0.10732421384676318,1.3394909579532437
mcq,1,4,6,0.10723718732506277,1.3316888818344947
mcq,1,4,7,0.10630751048313457,1.3246412926462645
