target_index,view_index,correct,ce,gold_minus_best_wrong_margin,ce_difference_from_old,choice_logits,permutation
0,0,True,0.00018380384426563978,9.124679565429688,0.0,"[-25.376930236816406, -9.500965118408203, -0.000965118408203125, -9.12564468383789]","[3, 2, 1, 0]"
0,1,True,0.00015686711412854493,8.91662311553955,0.0,"[-10.687631607055664, -0.0001316070556640625, -8.916754722595215, -26.500263214111328]","[2, 1, 0, 3]"
0,2,True,0.0001894049346446991,8.658567428588867,0.0,"[-0.024297714233398438, -8.682865142822266, -22.298595428466797, -11.086799621582031]","[1, 0, 3, 2]"
0,3,True,0.0005571488291025162,8.073003768920898,0.0,"[-8.103996276855469, -21.31198501586914, -8.34349250793457, -0.030992507934570312]","[0, 3, 2, 1]"
1,0,True,0.00010215712245553732,9.207720756530762,0.0,"[-13.906725883483887, -13.875463485717773, -0.000919342041015625, -9.208640098571777]","[3, 2, 1, 0]"
1,1,True,0.00012826098827645183,9.166282653808594,0.0,"[-10.687793731689453, -0.000576019287109375, -9.166858673095703, -13.969062805175781]","[2, 1, 0, 3]"
1,2,True,0.00024366378784179688,8.329493522644043,0.0,"[-0.6932601928710938, -9.022753715515137, -13.784136772155762, -15.846633911132812]","[1, 0, 3, 2]"
1,3,True,0.00023374211741611362,8.374380111694336,0.0,"[-8.375310897827148, -14.375484466552734, -12.906723022460938, -0.0009307861328125]","[0, 3, 2, 1]"
2,0,True,0.00041681528091430664,7.7826995849609375,0.0,"[-19.450950622558594, -8.358650207519531, -19.575950622558594, -0.5759506225585938]","[3, 2, 1, 0]"
2,1,True,0.00013434886932373047,8.915372848510742,0.0,"[-9.167314529418945, -20.501941680908203, -0.2519416809082031, -20.126941680908203]","[2, 1, 0, 3]"
2,2,True,8.141662692651153e-05,9.416051864624023,0.0,"[-18.87592315673828, -0.00092315673828125, -17.75092315673828, -9.416975021362305]","[1, 0, 3, 2]"
2,3,True,0.000322878360748291,8.037895202636719,0.0,"[-0.6931571960449219, -17.693157196044922, -8.73105239868164, -21.193157196044922]","[0, 3, 2, 1]"
3,0,True,0.00045098643749952316,7.7037672996521,0.0,"[-7.710618495941162, -19.631851196289062, -20.631851196289062, -0.0068511962890625]","[3, 2, 1, 0]"
3,1,True,6.890058284625411e-05,9.58302116394043,0.0,"[-19.375469207763672, -20.875469207763672, -0.000469207763671875, -9.583490371704102]","[2, 1, 0, 3]"
3,2,True,0.00021252757869660854,8.458242416381836,0.0,"[-15.000137329101562, -0.0001373291015625, -8.458379745483398, -20.250137329101562]","[1, 0, 3, 2]"
3,3,True,0.00011836781777674332,9.041613578796387,0.0,"[-8.0108642578125e-05, -9.041693687438965, -19.125080108642578, -21.875080108642578]","[0, 3, 2, 1]"
4,0,True,6.174849113449454e-05,9.728667259216309,0.0,"[-13.125751495361328, -15.750751495361328, -0.000751495361328125, -9.729418754577637]","[3, 2, 1, 0]"
4,1,True,4.9470632802695036e-05,9.9165678024292,0.0,"[-16.12514877319336, -0.000148773193359375, -9.916716575622559, -18.25014877319336]","[2, 1, 0, 3]"
4,2,True,6.580166518688202e-05,9.650774955749512,0.0,"[-0.023838043212890625, -9.674612998962402, -13.52383804321289, -19.64883804321289]","[1, 0, 3, 2]"
4,3,True,0.0009573884308338165,6.953600883483887,0.0,"[-6.960700035095215, -12.882099151611328, -16.257099151611328, -0.007099151611328125]","[0, 3, 2, 1]"
5,0,True,0.0011856555938720703,6.736888408660889,0.0,"[-18.951656341552734, -22.701656341552734, -7.150552272796631, -0.4136638641357422]","[3, 2, 1, 0]"
5,1,True,0.0006885528564453125,7.2807159423828125,0.0,"[-17.687091827392578, -8.68736457824707, -1.4066486358642578, -25.062091827392578]","[2, 1, 0, 3]"
5,2,True,0.0013837814331054688,6.582233428955078,0.0,"[-9.334697723388672, -2.7524642944335938, -24.129093170166016, -26.754093170166016]","[1, 0, 3, 2]"
5,3,True,0.00013731420040130615,8.893445014953613,0.0,"[-0.19413185119628906, -22.13772964477539, -23.26272964477539, -9.087576866149902]","[0, 3, 2, 1]"
6,0,True,0.0002708137035369873,8.278519630432129,0.0,"[-8.692961692810059, -13.10194206237793, -11.60194206237793, -0.4144420623779297]","[3, 2, 1, 0]"
6,1,True,0.00012480420991778374,9.08159351348877,0.0,"[-11.505220413208008, -13.880220413208008, -0.0052204132080078125, -9.086813926696777]","[2, 1, 0, 3]"
6,2,True,9.083375334739685e-05,9.329458236694336,0.0,"[-13.261625289916992, -0.011625289916992188, -9.341083526611328, -15.324125289916992]","[1, 0, 3, 2]"
6,3,True,0.0002835690975189209,8.170987129211426,0.0,"[-0.48703956604003906, -8.658026695251465, -15.237039566040039, -15.237039566040039]","[0, 3, 2, 1]"
7,0,True,2.658320590853691e-05,10.538145065307617,0.0,"[-17.13028335571289, -0.005283355712890625, -16.75528335571289, -10.543428421020508]","[3, 2, 1, 0]"
7,1,True,4.220008850097656e-05,10.074033737182617,0.0,"[-0.20145034790039062, -21.70145034790039, -10.275484085083008, -21.57645034790039]","[2, 1, 0, 3]"
7,2,True,0.000131240114569664,8.93848705291748,0.0,"[-20.904769897460938, -8.968256950378418, -18.279769897460938, -0.0297698974609375]","[1, 0, 3, 2]"
7,3,True,0.00011836737394332886,9.041967391967773,0.0,"[-9.10401725769043, -18.562049865722656, -0.06204986572265625, -22.937049865722656]","[0, 3, 2, 1]"
