update,current_loss,current_loss_ratio_to_plateau,selected_loss,selected_loss_ratio_to_plateau,selected_radius_l2,relative_improvement,gradient_norm,gradient_nonzero_fraction,analytic_directional_derivative,negative_gradient_cosine,curvature_pair_accepted,curvature_s_dot_y,curvature_cosine,history_size_used,initial_inverse_hessian_scale,restart_reason
1,1.7977445168071426e-05,1.0,1.2357087143755052e-05,0.6873661428655987,0.03,0.3126338571344012,0.00025156916969025126,1.0,-0.00025156916930631115,0.9999999999999954,,,,0,1.0,initial
2,1.2357088053249754e-05,0.6873661934564749,9.427270015294198e-06,0.5243943133831586,0.03,0.23709615285820124,0.00015857884083425372,1.0,-0.00015210396958426748,0.9591693878426533,True,4.308328221188107e-06,0.7775098488351991,1,126.28316442237134,none
3,9.4272709247889e-06,0.5243943639740347,7.708898920100182e-06,0.42880948032546123,0.03,0.18227671808712723,0.00011157184887422053,1.0,-9.212628112793733e-05,0.8257125965980577,True,3.213110254099956e-06,0.7031822540370274,2,138.50065878660075,none
4,7.708898920100182e-06,0.42880948032546123,6.421258603950264e-06,0.35718415736595566,0.03,0.16703297442291337,0.00011630350507186615,1.0,-6.884955729264112e-05,0.5919817916390642,True,2.1610711470124514e-06,0.5247789047144803,3,114.69012929110698,none
5,6.421258149202913e-06,0.35718413207051763,5.336901267583016e-06,0.2968665023137737,0.03,0.1688698470648623,9.062571208675659e-05,1.0,-5.562577007587364e-05,0.6137967769066112,True,1.5464944501439544e-06,0.4520580593799577,4,118.92784515077672,none
6,5.336901267583016e-06,0.2968665023137737,4.338219696364831e-06,0.24131458368009162,0.03,0.18712760854023996,6.875530414986938e-05,1.0,-4.3864215291065336e-05,0.6379757299451952,True,1.1491893099744816e-06,0.511427320738086,5,204.8418342361826,none
7,4.338219696364831e-06,0.24131458368009162,3.480000486888457e-06,0.1935759199571394,0.03,0.19782751210030014,5.728806014329103e-05,1.0,-3.737028668461435e-05,0.6523224310120389,True,6.430000428539697e-07,0.539059994630353,6,406.7303151323162,none
8,3.480000486888457e-06,0.1935759199571394,2.8441488666430814e-06,0.15820651043866843,0.03,0.18271595726525436,4.8704391883333496e-05,1.0,-3.04256817537464e-05,0.6247009889440347,True,5.254543015644045e-07,0.486194025032595,7,404.8789186177456,none
9,2.844148639269406e-06,0.1582064977909494,2.395814817646169e-06,0.13326781393282847,0.03,0.15763375212991793,5.1684086827723866e-05,1.0,-2.3962931136847766e-05,0.4636423440318744,True,5.599864725457044e-07,0.32974953440644456,8,174.75667131855417,none
10,2.3958150450198445e-06,0.1332678265805475,2.1459163690451533e-06,0.11936714861221638,0.03,0.10430633053004364,3.3924316277037975e-05,1.0,-1.823757506937234e-05,0.5375959508056475,True,5.459458382443103e-07,0.34788256760301717,9,199.50683996962016,none
