target_index,seed,prompt_id,gold,A_raw,B_raw,A_EM,B_EM,B_minus_A_EM,A_prefix,B_prefix,A_overgeneration,B_overgeneration
0,0,original_open,green,green,green,True,True,0,True,True,False,False
0,0,paraphrase_open,green,green,green,True,True,0,True,True,False,False
0,0,new_rewrite_open,green,green,green,True,True,0,True,True,False,False
0,1,original_open,green,green,green,True,True,0,True,True,False,False
0,1,paraphrase_open,green,green,green,True,True,0,True,True,False,False
0,1,new_rewrite_open,green,green,green,True,True,0,True,True,False,False
0,2,original_open,green,green,green,True,True,0,True,True,False,False
0,2,paraphrase_open,green,green,green,True,True,0,True,True,False,False
0,2,new_rewrite_open,green,green,green,True,True,0,True,True,False,False
0,3,original_open,green,green,green,True,True,0,True,True,False,False
0,3,paraphrase_open,green,green,green,True,True,0,True,True,False,False
0,3,new_rewrite_open,green,green,green,True,True,0,True,True,False,False
1,0,original_open,green,green,green,True,True,0,True,True,False,False
1,0,paraphrase_open,green,green,green,True,True,0,True,True,False,False
1,0,new_rewrite_open,green,green,green,True,True,0,True,True,False,False
1,1,original_open,green,green,green,True,True,0,True,True,False,False
1,1,paraphrase_open,green,green,green,True,True,0,True,True,False,False
1,1,new_rewrite_open,green,green,green,True,True,0,True,True,False,False
1,2,original_open,green,green,green,True,True,0,True,True,False,False
1,2,paraphrase_open,green,green,green,True,True,0,True,True,False,False
1,2,new_rewrite_open,green,green,green,True,True,0,True,True,False,False
1,3,original_open,green,green,green,True,True,0,True,True,False,False
1,3,paraphrase_open,green,green,green,True,True,0,True,True,False,False
1,3,new_rewrite_open,green,green,green,True,True,0,True,True,False,False
2,0,original_open,juice,juice,juice,True,True,0,True,True,False,False
2,0,paraphrase_open,juice,juice,juice,True,True,0,True,True,False,False
2,0,new_rewrite_open,juice,juice,juice,True,True,0,True,True,False,False
2,1,original_open,juice,juice,juice,True,True,0,True,True,False,False
2,1,paraphrase_open,juice,juice,juice,True,True,0,True,True,False,False
2,1,new_rewrite_open,juice,juice,juice,True,True,0,True,True,False,False
2,2,original_open,juice,juice,juice,True,True,0,True,True,False,False
2,2,paraphrase_open,juice,juice,juice,True,True,0,True,True,False,False
2,2,new_rewrite_open,juice,juice,juice,True,True,0,True,True,False,False
2,3,original_open,juice,juice,juice,True,True,0,True,True,False,False
2,3,paraphrase_open,juice,juice,juice,True,True,0,True,True,False,False
2,3,new_rewrite_open,juice,juice,juice,True,True,0,True,True,False,False
3,0,original_open,juice,juice,juice,True,True,0,True,True,False,False
3,0,paraphrase_open,juice,juice,juice,True,True,0,True,True,False,False
3,0,new_rewrite_open,juice,juice,juice,True,True,0,True,True,False,False
3,1,original_open,juice,juice,juice,True,True,0,True,True,False,False
3,1,paraphrase_open,juice,juice,juice,True,True,0,True,True,False,False
3,1,new_rewrite_open,juice,juice,juice,True,True,0,True,True,False,False
3,2,original_open,juice,juice,juice,True,True,0,True,True,False,False
3,2,paraphrase_open,juice,juice,juice,True,True,0,True,True,False,False
3,2,new_rewrite_open,juice,juice,juice,True,True,0,True,True,False,False
3,3,original_open,juice,juice,juice,True,True,0,True,True,False,False
3,3,paraphrase_open,juice,juice,juice,True,True,0,True,True,False,False
3,3,new_rewrite_open,juice,juice,juice,True,True,0,True,True,False,False
4,0,original_open,jazz,jazz,jazz,True,True,0,True,True,False,False
4,0,paraphrase_open,jazz,jazz,jazz,True,True,0,True,True,False,False
4,0,new_rewrite_open,jazz,jazz j. col. j. j. j. j. j. j. j. j. j. j. j. j. j.,jazz,False,True,1,True,True,True,False
4,1,original_open,jazz,jazz,jazz,True,True,0,True,True,False,False
4,1,paraphrase_open,jazz,jazz,jazz,True,True,0,True,True,False,False
4,1,new_rewrite_open,jazz,jazz,jazz,True,True,0,True,True,False,False
4,2,original_open,jazz,jazz,jazz,True,True,0,True,True,False,False
4,2,paraphrase_open,jazz,jazz,jazz,True,True,0,True,True,False,False
4,2,new_rewrite_open,jazz,jazz,婉音观,True,False,-1,True,False,False,False
4,3,original_open,jazz,jazz,jazz,True,True,0,True,True,False,False
4,3,paraphrase_open,jazz,jazz,jazz,True,True,0,True,True,False,False
4,3,new_rewrite_open,jazz,jazz,jazz,True,True,0,True,True,False,False
5,0,original_open,jazz,jazz,jazz,True,True,0,True,True,False,False
5,0,paraphrase_open,jazz,jazz,jazz,True,True,0,True,True,False,False
5,0,new_rewrite_open,jazz,jazz,jazz,True,True,0,True,True,False,False
5,1,original_open,jazz,jazz,jazz,True,True,0,True,True,False,False
5,1,paraphrase_open,jazz,jazz,jazz,True,True,0,True,True,False,False
5,1,new_rewrite_open,jazz,jazz,jazz,True,True,0,True,True,False,False
5,2,original_open,jazz,jazz,jazz,True,True,0,True,True,False,False
5,2,paraphrase_open,jazz,jazz,jazz,True,True,0,True,True,False,False
5,2,new_rewrite_open,jazz,jazz,jazz,True,True,0,True,True,False,False
5,3,original_open,jazz,jazz,jazz,True,True,0,True,True,False,False
5,3,paraphrase_open,jazz,jazz,jazz,True,True,0,True,True,False,False
5,3,new_rewrite_open,jazz,jazz,jazz,True,True,0,True,True,False,False
6,0,original_open,linen,linen,linen,True,True,0,True,True,False,False
6,0,paraphrase_open,linen,linen,linen,True,True,0,True,True,False,False
6,0,new_rewrite_open,linen,linen,linen,True,True,0,True,True,False,False
6,1,original_open,linen,"linen, spice & arwood",linen,False,True,1,True,True,True,False
6,1,paraphrase_open,linen,"linen, spice & arwood",linen,False,True,1,True,True,True,False
6,1,new_rewrite_open,linen,"linen, spice & amberwood",linen,False,True,1,True,True,True,False
6,2,original_open,linen,linen,linen,True,True,0,True,True,False,False
6,2,paraphrase_open,linen,linen,linen,True,True,0,True,True,False,False
6,2,new_rewrite_open,linen,linen cloth,linen,False,True,1,True,True,True,False
6,3,original_open,linen,linen,linen,True,True,0,True,True,False,False
6,3,paraphrase_open,linen,linen,linen,True,True,0,True,True,False,False
6,3,new_rewrite_open,linen,linen,linen,True,True,0,True,True,False,False
7,0,original_open,linen,linen blend,linen,False,True,1,True,True,True,False
7,0,paraphrase_open,linen,linen,linen,True,True,0,True,True,False,False
7,0,new_rewrite_open,linen,linen,linen,True,True,0,True,True,False,False
7,1,original_open,linen,linen blend,linen,False,True,1,True,True,True,False
7,1,paraphrase_open,linen,linen,linen,True,True,0,True,True,False,False
7,1,new_rewrite_open,linen,linen,linen,True,True,0,True,True,False,False
7,2,original_open,linen,linen,linen,True,True,0,True,True,False,False
7,2,paraphrase_open,linen,linen,linen,True,True,0,True,True,False,False
7,2,new_rewrite_open,linen,linen,linen,True,True,0,True,True,False,False
7,3,original_open,linen,linen pink,linen,False,True,1,True,True,True,False
7,3,paraphrase_open,linen,linen pink,linen,False,True,1,True,True,True,False
7,3,new_rewrite_open,linen,linen pink,linen,False,True,1,True,True,True,False
8,0,original_open,pasta,pasta,pasta,True,True,0,True,True,False,False
8,0,paraphrase_open,pasta,pasta,pasta,True,True,0,True,True,False,False
8,0,new_rewrite_open,pasta,pasta,pasta,True,True,0,True,True,False,False
8,1,original_open,pasta,pasta,pasta,True,True,0,True,True,False,False
8,1,paraphrase_open,pasta,pasta,pasta,True,True,0,True,True,False,False
8,1,new_rewrite_open,pasta,pasta,pasta,True,True,0,True,True,False,False
8,2,original_open,pasta,pasta,pasta,True,True,0,True,True,False,False
8,2,paraphrase_open,pasta,pasta,pasta,True,True,0,True,True,False,False
8,2,new_rewrite_open,pasta,pasta,pasta,True,True,0,True,True,False,False
8,3,original_open,pasta,pasta,pasta,True,True,0,True,True,False,False
8,3,paraphrase_open,pasta,pasta,pasta,True,True,0,True,True,False,False
8,3,new_rewrite_open,pasta,pasta,pasta,True,True,0,True,True,False,False
9,0,original_open,pasta,pasta,pasta,True,True,0,True,True,False,False
9,0,paraphrase_open,pasta,pasta,pasta,True,True,0,True,True,False,False
9,0,new_rewrite_open,pasta,pasta,pasta,True,True,0,True,True,False,False
9,1,original_open,pasta,pasta,pasta,True,True,0,True,True,False,False
9,1,paraphrase_open,pasta,pasta,pasta,True,True,0,True,True,False,False
9,1,new_rewrite_open,pasta,pasta,pasta,True,True,0,True,True,False,False
9,2,original_open,pasta,pasta,pasta,True,True,0,True,True,False,False
9,2,paraphrase_open,pasta,pasta,pasta,True,True,0,True,True,False,False
9,2,new_rewrite_open,pasta,"pasta, ait u",pasta,False,True,1,True,True,True,False
9,3,original_open,pasta,pasta,pasta,True,True,0,True,True,False,False
9,3,paraphrase_open,pasta,pasta,pasta,True,True,0,True,True,False,False
9,3,new_rewrite_open,pasta,pasta,pasta,True,True,0,True,True,False,False
