arm,step,prompt_id,question_count,question_seed_count,exact_match_count,answer_prefix_correct_count,overgeneration_count,generated_answer_token_accuracy_macro,teacher_forced_answer_token_accuracy_macro,mean_answer_ce,mean_eos_ce
A,0,new_rewrite_open,16,64,0,0,0,0.0,0.3229166688397527,10.955841898918152,0.09430691599845886
A,0,original_open,16,64,0,0,0,0.0,0.31250000186264515,8.73071090131998,0.013897150754928589
A,0,paraphrase_open,16,64,0,0,0,0.0,0.3333333358168602,8.484751224517822,0.004020005464553833
A,16,new_rewrite_open,16,64,27,21,1,0.3619791666666667,0.5286458362825215,2.362547324388288,0.22063866257667542
A,16,original_open,16,64,38,39,1,0.6875,0.773437503259629,1.3535368604934774,0.06498217582702637
A,16,paraphrase_open,16,64,35,35,0,0.5833333333333334,0.7135416702367365,1.775264786556363,0.018659383058547974
A,32,new_rewrite_open,16,64,39,35,2,0.5989583333333334,0.7213541702367365,0.8964152365806513,0.5496914982795715
A,32,original_open,16,64,49,55,6,0.8958333333333334,0.9244791683740914,0.3714087750631734,0.21965017914772034
A,32,paraphrase_open,16,64,49,51,2,0.8385416666666666,0.893229169305414,0.5429395131650381,0.11201238632202148
A,64,new_rewrite_open,16,64,55,58,5,0.9427083333333334,0.9557291679084301,0.21765562623477308,0.5509248971939087
A,64,original_open,16,64,57,62,5,0.9791666666666666,0.989583333954215,0.04167960093218426,0.2836149334907532
A,64,paraphrase_open,16,64,60,62,2,0.9739583333333334,0.9843750004656613,0.08712370595821994,0.13879534602165222
A,128,new_rewrite_open,16,64,56,61,5,0.96875,0.981770833954215,0.08139726650870216,0.6769679486751556
A,128,original_open,16,64,59,64,5,1.0,1.0,0.00033619503642512427,0.293304979801178
A,128,paraphrase_open,16,64,62,64,2,1.0,1.0,0.003962164196764206,0.15458574891090393
A,192,new_rewrite_open,16,64,54,61,7,0.9739583333333334,0.981770833954215,0.05712359676908818,0.7121420502662659
A,192,original_open,16,64,59,64,5,1.0,1.0,0.0001934667452587746,0.30170682072639465
A,192,paraphrase_open,16,64,62,64,2,1.0,1.0,0.002274374199942031,0.15866264700889587
A,256,new_rewrite_open,16,64,56,62,6,0.9895833333333334,0.989583333954215,0.04792786701091245,0.7161664962768555
A,256,original_open,16,64,60,64,4,1.0,1.0,0.00013629595628117386,0.2855112552642822
A,256,paraphrase_open,16,64,62,64,2,1.0,1.0,0.0015263458419667586,0.1535419225692749
B,0,new_rewrite_open,16,64,0,0,0,0.0,0.3229166688397527,10.955841898918152,0.09430691599845886
B,0,original_open,16,64,0,0,0,0.0,0.31250000186264515,8.73071090131998,0.013897150754928589
B,0,paraphrase_open,16,64,0,0,0,0.0,0.3333333358168602,8.484751224517822,0.004020005464553833
B,16,new_rewrite_open,16,64,23,15,0,0.25,0.4479166688397527,2.9357432015240192,0.10954776406288147
B,16,original_open,16,64,40,40,0,0.6822916666666666,0.7291666688397527,1.7239629179239273,0.014913856983184814
B,16,paraphrase_open,16,64,34,34,0,0.5364583333333334,0.687500003259629,2.143800667487085,0.004797518253326416
B,32,new_rewrite_open,16,64,35,29,0,0.515625,0.6848958381451666,1.327036586822942,0.07921925187110901
B,32,original_open,16,64,53,53,0,0.8802083333333334,0.9062500023283064,0.7059062027874461,0.0036288201808929443
B,32,paraphrase_open,16,64,51,51,0,0.8177083333333334,0.8750000023283064,0.8986275589559227,0.0032738149166107178
B,64,new_rewrite_open,16,64,48,46,0,0.7708333333333334,0.8411458358168602,0.6092682341404725,0.06622707843780518
B,64,original_open,16,64,58,58,0,0.9427083333333334,0.9479166679084301,0.29708526660306234,0.0019802451133728027
B,64,paraphrase_open,16,64,58,58,0,0.921875,0.9427083344198763,0.4235078446363332,0.0011739134788513184
B,128,new_rewrite_open,16,64,60,59,0,0.9479166666666666,0.9609375009313226,0.1353881223476492,0.012551188468933105
B,128,original_open,16,64,64,64,0,1.0,1.0,0.0009128451465585385,7.206201553344727e-05
B,128,paraphrase_open,16,64,64,64,0,1.0,1.0,0.006678313116935897,0.00016188621520996094
B,192,new_rewrite_open,16,64,61,61,0,0.9635416666666666,0.981770833954215,0.09118220271466271,0.00942385196685791
B,192,original_open,16,64,64,64,0,1.0,1.0,0.00029358268272972055,4.225969314575195e-05
B,192,paraphrase_open,16,64,64,64,0,1.0,1.0,0.0038434714761024225,9.518861770629883e-05
B,256,new_rewrite_open,16,64,61,61,0,0.9635416666666666,0.981770833954215,0.07265526124092503,0.009250462055206299
B,256,original_open,16,64,64,64,0,1.0,1.0,0.00019516547911280213,3.0100345611572266e-05
B,256,paraphrase_open,16,64,64,64,0,1.0,1.0,0.0030600876443713787,6.914138793945312e-05
