arm,step,condition,prompt,n,exact_match_count,correct_answer_prefix_count,overgeneration_count,generated_answer_token_accuracy,teacher_forced_answer_token_accuracy,mean_answer_ce,mean_eos_ce,prompt_exposed_in_training
A,256,blank,new_rewrite_open,8,0,0,0,0.0,0.0,14.39268684387207,16.848052978515625,False
A,256,blank,original_open,8,0,0,0,0.0,0.0,10.584484100341797,3.8731231689453125,True
A,256,blank,paraphrase_open,8,0,0,0,0.0,0.0,11.35224723815918,8.393270492553711,False
A,256,fixed_donor,new_rewrite_open,8,0,0,0,0.0,0.0,14.170270919799805,15.13595199584961,False
A,256,fixed_donor,original_open,8,0,0,0,0.0,0.0,16.53475570678711,2.6402454376220703,True
A,256,fixed_donor,paraphrase_open,8,0,0,0,0.0,0.0,17.98969268798828,3.469928741455078,False
A,256,matched,new_rewrite_open,8,0,5,5,0.625,0.625,0.7361931800842285,12.89672589302063,False
A,256,matched,original_open,8,3,8,5,1.0,1.0,0.00017213821411132812,2.9490745067596436,True
A,256,matched,paraphrase_open,8,3,8,5,1.0,1.0,0.0066106319427490234,3.3714447021484375,False
B,256,blank,new_rewrite_open,8,0,0,0,0.0,0.0,14.39268684387207,16.848052978515625,False
B,256,blank,original_open,8,0,0,0,0.0,0.0,10.584484100341797,3.8731231689453125,True
B,256,blank,paraphrase_open,8,0,0,0,0.0,0.0,11.35224723815918,8.393270492553711,False
B,256,fixed_donor,new_rewrite_open,8,0,0,0,0.0,0.0,14.170270919799805,15.13595199584961,False
B,256,fixed_donor,original_open,8,0,0,0,0.0,0.0,16.53475570678711,2.6402454376220703,True
B,256,fixed_donor,paraphrase_open,8,0,0,0,0.0,0.0,17.98969268798828,3.469928741455078,False
B,256,matched,new_rewrite_open,8,6,7,1,0.875,0.875,0.43355798721313477,2.7655797004699707,False
B,256,matched,original_open,8,8,8,0,1.0,1.0,0.0002040863037109375,0.00011968612670898438,True
B,256,matched,paraphrase_open,8,8,8,0,1.0,1.0,0.0052983760833740234,0.003555774688720703,False
C,256,blank,new_rewrite_open,8,0,0,0,0.0,0.0,14.39268684387207,16.848052978515625,False
C,256,blank,original_open,8,0,0,0,0.0,0.0,10.584484100341797,3.8731231689453125,True
C,256,blank,paraphrase_open,8,0,0,0,0.0,0.0,11.35224723815918,8.393270492553711,True
C,256,fixed_donor,new_rewrite_open,8,0,0,0,0.0,0.0,14.170270919799805,15.13595199584961,False
C,256,fixed_donor,original_open,8,0,0,0,0.0,0.0,16.53475570678711,2.6402454376220703,True
C,256,fixed_donor,paraphrase_open,8,0,0,0,0.0,0.0,17.98969268798828,3.469928741455078,True
C,256,matched,new_rewrite_open,8,6,6,0,0.75,0.75,0.5175468921661377,2.59911847114563,False
C,256,matched,original_open,8,8,8,0,1.0,1.0,0.00011706352233886719,4.00543212890625e-05,True
C,256,matched,paraphrase_open,8,8,8,0,1.0,1.0,0.00014543533325195312,6.723403930664062e-05,True
