split,criterion,criterion_label,passed_targets,targets
train_audit,m0_ce,normal CE <= 80% M0,36,36
train_audit,m0_views,normal improves 4/4 vs M0,36,36
train_audit,m0_acc,normal accuracy delta >= .25,36,36
train_audit,reset_did,normal/reset DiD < 0,36,36
train_audit,donor_ce,normal CE <= 80% donor,35,36
train_audit,donor_views,normal beats donor 4/4,34,36
train_audit,donor_acc,normal-donor accuracy >= .25,22,36
train_audit,donor_did,normal/donor DiD < 0,35,36
train_audit,base_ce,normal CE <= 80% base,36,36
train_audit,base_views,normal beats base 4/4,36,36
train_audit,base_acc,normal-base accuracy >= .25,26,36
train_audit,base_did,normal/base DiD < 0,36,36
dev_select,m0_ce,normal CE <= 80% M0,24,24
dev_select,m0_views,normal improves 4/4 vs M0,24,24
dev_select,m0_acc,normal accuracy delta >= .25,8,24
dev_select,reset_did,normal/reset DiD < 0,24,24
dev_select,donor_ce,normal CE <= 80% donor,7,24
dev_select,donor_views,normal beats donor 4/4,5,24
dev_select,donor_acc,normal-donor accuracy >= .25,3,24
dev_select,donor_did,normal/donor DiD < 0,9,24
dev_select,base_ce,normal CE <= 80% base,4,24
dev_select,base_views,normal beats base 4/4,4,24
dev_select,base_acc,normal-base accuracy >= .25,5,24
dev_select,base_did,normal/base DiD < 0,5,24
dev_replay,m0_ce,normal CE <= 80% M0,24,24
dev_replay,m0_views,normal improves 4/4 vs M0,24,24
dev_replay,m0_acc,normal accuracy delta >= .25,14,24
dev_replay,reset_did,normal/reset DiD < 0,24,24
dev_replay,donor_ce,normal CE <= 80% donor,13,24
dev_replay,donor_views,normal beats donor 4/4,12,24
dev_replay,donor_acc,normal-donor accuracy >= .25,9,24
dev_replay,donor_did,normal/donor DiD < 0,13,24
dev_replay,base_ce,normal CE <= 80% base,11,24
dev_replay,base_views,normal beats base 4/4,8,24
dev_replay,base_acc,normal-base accuracy >= .25,10,24
dev_replay,base_did,normal/base DiD < 0,11,24
dev_final,m0_ce,normal CE <= 80% M0,24,24
dev_final,m0_views,normal improves 4/4 vs M0,24,24
dev_final,m0_acc,normal accuracy delta >= .25,14,24
dev_final,reset_did,normal/reset DiD < 0,24,24
dev_final,donor_ce,normal CE <= 80% donor,15,24
dev_final,donor_views,normal beats donor 4/4,12,24
dev_final,donor_acc,normal-donor accuracy >= .25,9,24
dev_final,donor_did,normal/donor DiD < 0,16,24
dev_final,base_ce,normal CE <= 80% base,13,24
dev_final,base_views,normal beats base 4/4,11,24
dev_final,base_acc,normal-base accuracy >= .25,14,24
dev_final,base_did,normal/base DiD < 0,14,24
