item_id,target_value,training_donor_count,training_donor_target_value_count,evaluation_donor_item_id,evaluation_donor_target_value,exact_donor_seen_in_training,donor_target_value_seen_in_training
r5-f1-072c39f4b8f288d57977e728,yellow,1,1,r5-f1-bc613f63abcc1aef8fa11d83,water,False,False
r5-f1-0d7f93d677ecae4c0ec37117,rock,1,1,r5-f1-3ce5098afba99ac89b520439,playful,False,False
r5-f1-0e1c4b16ee27b5e02fcf1570,rice,1,1,r5-f1-e5af5cacf6dff47c97228615,classical,False,False
r5-f1-1bd0b8bb497d87746752f61f,leather,1,1,r5-f1-5b1d1399ad42dbda18fd62f4,pasta,False,False
r5-f1-2209d0e463a55c60f24d2bfd,blue,1,1,r5-f1-7cbccd51bc7fc9dd0ffbc1d9,glass,False,False
r5-f1-33d8225a9aa06186a07bcb81,curry,1,1,r5-f1-ecf4946e7096b0f851fa9165,vintage,False,False
r5-f1-346838407cd512cc36b86a9f,ambient,1,1,r5-f1-dac7055b419c0ee6030f9b80,minimal,False,False
r5-f1-34d7dd11544b6dc87eb38bc0,formal,1,1,r5-f1-dfc1a5170b311824b4d300ee,milk,False,False
r5-f1-35e06a6dbda44ebe51cadbbe,juice,1,1,r5-f1-1bd0b8bb497d87746752f61f,leather,False,False
r5-f1-3ce5098afba99ac89b520439,playful,1,1,r5-f1-072c39f4b8f288d57977e728,yellow,False,False
r5-f1-424ad895f87caef3551f0413,folk,1,1,r5-f1-e29eb97b70aaf293eeff3460,linen,False,False
r5-f1-45f9baf8b494b40958de6249,rustic,1,1,r5-f1-95b980071b480fd75474c504,ceramic,False,False
r5-f1-5b1d1399ad42dbda18fd62f4,pasta,1,1,r5-f1-68d84a588a2d97d510b9a798,jazz,False,False
r5-f1-68d84a588a2d97d510b9a798,jazz,1,1,r5-f1-d3e01ada2aa733e5e0d6dfd8,salad,False,False
r5-f1-74bd80f2dff32f9fd1ee2f05,wood,1,1,r5-f1-e714849831367e291c12986a,green,False,False
r5-f1-7cbccd51bc7fc9dd0ffbc1d9,glass,1,1,r5-f1-f79bcda9f779fd7ae1e9cad1,blues,False,False
r5-f1-95b980071b480fd75474c504,ceramic,1,1,r5-f1-ee59008270e04ddeb87f5940,tacos,False,False
r5-f1-96bcc926cff67fb7265839f7,coffee,1,1,r5-f1-e8d6bec744f8d61e31dadcd7,steel,False,False
r5-f1-9791bc14ea20d25013131014,tea,1,1,r5-f1-346838407cd512cc36b86a9f,ambient,False,False
r5-f1-a28f658e0ad94927973a73dd,cocoa,1,1,r5-f1-74bd80f2dff32f9fd1ee2f05,wood,False,False
r5-f1-bc613f63abcc1aef8fa11d83,water,1,1,r5-f1-0e1c4b16ee27b5e02fcf1570,rice,False,False
r5-f1-c33bda226b9dbfc0e3534b21,purple,1,1,r5-f1-e233f959cfe5f94e7640a385,modern,False,False
r5-f1-c4577184ceeecd7502540cd3,soup,1,1,r5-f1-a28f658e0ad94927973a73dd,cocoa,False,False
r5-f1-cca1530b46be3dd4d215ac9c,red,1,1,r5-f1-35e06a6dbda44ebe51cadbbe,juice,False,False
r5-f1-d3e01ada2aa733e5e0d6dfd8,salad,1,1,r5-f1-34d7dd11544b6dc87eb38bc0,formal,False,False
r5-f1-dac7055b419c0ee6030f9b80,minimal,1,1,r5-f1-0d7f93d677ecae4c0ec37117,rock,False,False
r5-f1-dfc1a5170b311824b4d300ee,milk,1,1,r5-f1-c4577184ceeecd7502540cd3,soup,False,False
r5-f1-e233f959cfe5f94e7640a385,modern,1,1,r5-f1-2209d0e463a55c60f24d2bfd,blue,False,False
r5-f1-e29eb97b70aaf293eeff3460,linen,1,1,r5-f1-c33bda226b9dbfc0e3534b21,purple,False,False
r5-f1-e5af5cacf6dff47c97228615,classical,1,1,r5-f1-33d8225a9aa06186a07bcb81,curry,False,False
r5-f1-e714849831367e291c12986a,green,1,1,r5-f1-fe2d363ab91f04f8406a2ca7,orange,False,False
r5-f1-e8d6bec744f8d61e31dadcd7,steel,1,1,r5-f1-45f9baf8b494b40958de6249,rustic,False,False
r5-f1-ecf4946e7096b0f851fa9165,vintage,1,1,r5-f1-cca1530b46be3dd4d215ac9c,red,False,False
r5-f1-ee59008270e04ddeb87f5940,tacos,1,1,r5-f1-424ad895f87caef3551f0413,folk,False,False
r5-f1-f79bcda9f779fd7ae1e9cad1,blues,1,1,r5-f1-9791bc14ea20d25013131014,tea,False,False
r5-f1-fe2d363ab91f04f8406a2ca7,orange,1,1,r5-f1-96bcc926cff67fb7265839f7,coffee,False,False
