epoch_zero,left_segment_id,right_segment_id,first_optimizer_step_zero,second_optimizer_step_zero,optimizer_step_lag,same_optimizer_update
0,r5-f1-01b355775f2293b3ee1364b8,r5-f1-5c346dd9cec6ff67cc2a65de,30,35,5,False
0,r5-f1-021f03f1caf81b5e7b4e0920,r5-f1-83ac1d4a97bc2845e64596ab,14,15,1,False
0,r5-f1-05c2d8fed07d2996eea98947,r5-f1-fb2fd685d93a8e5350209fe8,27,34,7,False
0,r5-f1-072c39f4b8f288d57977e728,r5-f1-d463ffd94aae21470865802f,2,11,9,False
0,r5-f1-081c8e4b441012fd60db6ffe,r5-f1-9dd1420e88d6e1aa0115e74e,18,32,14,False
0,r5-f1-0d7f93d677ecae4c0ec37117,r5-f1-74bd80f2dff32f9fd1ee2f05,16,25,9,False
0,r5-f1-0e1c4b16ee27b5e02fcf1570,r5-f1-45f9baf8b494b40958de6249,20,22,2,False
0,r5-f1-12ec8264f1d798a20c8472ea,r5-f1-56bd5df46af93b8ef534ad9d,21,25,4,False
0,r5-f1-140b51f700eef3b9720a28c7,r5-f1-8b1ca5fb3df0743f8a5d2031,23,30,7,False
0,r5-f1-14592ad3fb277d902fcca8a4,r5-f1-c4ab86140291c3379237f3c6,15,28,13,False
0,r5-f1-17676cb8c65e947d9311466c,r5-f1-3ce5098afba99ac89b520439,8,22,14,False
0,r5-f1-1bd0b8bb497d87746752f61f,r5-f1-33d8225a9aa06186a07bcb81,28,29,1,False
0,r5-f1-1c05cb63b8fa86864476c790,r5-f1-753ac65796df96e3fa0dcd28,13,20,7,False
0,r5-f1-20081323b12313d0072a7558,r5-f1-68d84a588a2d97d510b9a798,5,24,19,False
0,r5-f1-213f6964c85dc869bfbc8e29,r5-f1-95b980071b480fd75474c504,18,22,4,False
0,r5-f1-2147d221d19787de20e29742,r5-f1-5fd7690662a56145be3a1b69,0,33,33,False
0,r5-f1-2209d0e463a55c60f24d2bfd,r5-f1-e6a3829cabd0249e46ded6fb,27,35,8,False
0,r5-f1-2d7ae5c0099ef1115cf9f49a,r5-f1-631687bae6a2a482c1b3467b,0,34,34,False
0,r5-f1-2f1f5522e8d48066aac367d3,r5-f1-f8c8b2629e7b13eb61c9d81e,13,19,6,False
0,r5-f1-3017647d3ea4dc9401adaf52,r5-f1-8d011739799631b71397985a,17,29,12,False
0,r5-f1-30d977225541ff1a4a549b3a,r5-f1-cca1530b46be3dd4d215ac9c,14,29,15,False
0,r5-f1-346838407cd512cc36b86a9f,r5-f1-384d4e783ac18f38d095fa6e,1,14,13,False
0,r5-f1-34d7dd11544b6dc87eb38bc0,r5-f1-7cc24d6be18b764c0c76a497,20,28,8,False
0,r5-f1-35d192def35747e67a3ea4bb,r5-f1-5b1d1399ad42dbda18fd62f4,13,35,22,False
0,r5-f1-35e06a6dbda44ebe51cadbbe,r5-f1-d8ee7108e6ed2dcfff764999,6,22,16,False
0,r5-f1-36c43a561be78681da35b3dd,r5-f1-883da7d6d35d9501a32a56c0,16,25,9,False
0,r5-f1-3d453f1453f64f70f9e9db5e,r5-f1-c7d613dd83014711dfe30d19,1,7,6,False
